timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708067047535,1805,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2046,538111,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,1805,0,0
1708067049656,1785,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2033,502450,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,1785,0,0
1708067051746,1874,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2047,545401,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,1874,0,0
1708067053936,2136,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2039,597143,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2136,0,0
1708067056386,2304,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2045,603235,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2304,0,0
1708067059006,1957,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2034,544334,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,1957,0,0
1708067061266,2051,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2046,566368,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2051,0,0
1708067063626,2037,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2040,626870,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2037,0,0
1708067065973,2114,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2048,640173,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2114,0,0
1708067068405,2427,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2050,759799,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2427,0,0
1708067071141,2440,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2043,716184,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2440,0,0
1708067073895,3234,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2038,991262,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,3234,0,0
1708067077444,2942,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2045,878961,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2942,0,0
1708067080695,2014,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2044,555270,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2014,0,0
1708067083020,2024,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2043,579487,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2024,0,0
1708067085366,5011,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2047,1091235,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,5011,0,175
1708067090680,2487,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2043,768444,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2487,0,0
1708067093475,2388,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2046,713003,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2388,0,0
1708067096170,2491,upload image to orientation,200,OK,Dealer add vehicle scenario 1-1,text,true,,2038,732979,1,1,https://autofox-alpha.softxpertdev.com/vehicle-images,2491,0,0
1708067098675,6,Check values,200,OK,Dealer add vehicle scenario 1-1,text,true,,758,0,1,1,null,0,0,0
